tmc,am_lottr,pm_lottr
129+04099,1.0566037735849056,1.207142857142857
129+04100,1.0571428571428572,1.3235294117647058
129+04101,1.027777777777778,1.2241379310344829
129+04102,1.1153846153846152,1.1851851851851851
129+04103,2.484076433121019,1.6810344827586208
129+04104,2.652173913043478,1.1724137931034484
129+04105,1.3924050632911393,1.1395348837209303
129+04106,1.3627118644067795,2.132530120481928
129+04107,1.25,2.0547945205479454
129+04108,1.3633333333333333,1.4758620689655173
129+04109,1.1650485436893203,1.1805555555555556
129+04110,1.24,1.1139240506329113
129+04111,1.1233766233766234,1.1428571428571428
129+04112,1.15,1.0
129+04113,1.054726368159204,1.0359712230215827
129+04114,1.102941176470588,1.0465116279069768
129+04115,1.0909090909090908,1.0
129+04116,2.6419753086419755,1.713815789473684
129+04117,2.15,1.5
129+04118,2.4285714285714284,1.2857142857142858
129+04119,2.0,1.24
129+04120,1.727272727272727,1.303225806451613
129+04121,1.4285714285714286,1.3289473684210527
129+04122,1.4634146341463414,1.3333333333333335
129+04123,1.1052631578947367,1.3442622950819672
129+04124,1.06,1.25
129+04125,1.0465116279069768,1.1627906976744187
129+04126,1.0434782608695652,1.2310756972111554
129+04127,1.0,1.2151898734177213
129+04128,1.0689655172413794,1.2499999999999998
129+04129,1.0434782608695652,1.2407407407407407
129+04130,1.076923076923077,1.2678571428571426
129+04131,1.164772727272727,1.2645914396887161
129+04132,2.0588235294117645,1.5454545454545456
129+04133,2.2682926829268295,1.3285714285714287
129+04134,2.0,1.2442396313364057
129+04135,1.0273972602739727,1.2109375
129+04136,1.0232558139534884,1.4639175257731958
129+04137,1.046728971962617,1.56
129+04138,1.0344827586206897,1.5588235294117647
129+04139,1.0301724137931036,1.345505617977528
129+04140,1.0344827586206897,1.4892086330935252
129+04141,1.0731707317073171,1.5575221238938055
129+04142,1.0264900662251655,1.7251908396946563
129+04143,1.02,1.2098765432098764
129+04144,1.0454545454545454,1.105263157894737
129+04145,1.125,1.0
129+04146,1.0540540540540542,1.0256410256410258
129+04178,1.0476190476190477,1.0264550264550265
129+04179,1.0469973890339426,1.0469973890339426
129+04180,1.0437956204379562,1.0437956204379562
129+04181,1.032258064516129,1.0666666666666667
129+04182,1.0457516339869282,1.0326797385620916
129+04183,1.04,1.04
129+04184,1.0531914893617023,1.032258064516129
129+04185,1.046875,1.046875
129+04186,1.051470588235294,1.044776119402985
129+04187,1.0450819672131146,1.0458333333333334
129+04188,1.047872340425532,1.0465753424657533
129+04189,1.030878859857482,1.030878859857482
129+04190,1.0484581497797356,1.0484581497797356
129+04191,2.1062499999999997,1.0333333333333334
129+04192,1.6016771488469603,1.0329670329670328
129+04193,1.2,1.0508474576271187
129+04194,1.271523178807947,1.0395833333333637
129+04195,1.5,1.0
129+04216,1.0483870967741935,1.046875
129+04243,1.028985507246377,1.4360313315926894
129+04244,1.0305343511450382,1.26265389876881
129+04245,1.0084033613445378,1.116504854368932
129+04246,1.0297619047619049,1.0864864864864863
129+04247,1.0555555555555556,1.025
129+04248,1.0714285714285714,1.0
129+04249,1.0,1.5
129+04250,1.0300751879699248,1.2
129+04251,1.029585798816568,1.1989247311827955
129+04252,1.0337837837837838,1.0696202531645569
129+04253,1.0337837837837838,1.0326797385620916
129+04254,1.028169014084507,1.027027027027027
129+04255,1.0526315789473684,1.0
129+04263,1.125,1.125
129+04264,1.0530973451327434,1.0530973451327434
129+04265,1.0208333333333333,1.0416666666666667
129+04266,1.0576923076923077,1.0943396226415094
129+04268,1.0909090909090908,1.0869565217391304
129+04269,1.0,1.0
129+04270,1.0263157894736843,1.051282051282051
129+04271,1.0169491525423728,1.0833333333333335
129+04272,1.6842105263157894,2.3518518518518516
129+04274,1.0441988950276242,1.0331491712707184
129+04275,1.030878859857482,1.0457831325301203
129+04276,1.029490616621984,1.0299727520435966
129+04277,1.0457142857142858,1.0285714285714287
129+04278,1.0454545454545454,1.0454545454545454
129+04279,1.0458715596330275,1.031055900621118
129+04280,1.0367647058823528,1.0367647058823528
129+04281,1.047872340425532,1.0319148936170213
129+04282,1.0440251572327044,1.0251572327044023
129+04283,1.02991452991453,1.02991452991453
129+04284,1.0305343511450382,1.062015503875969
129+04285,1.046875,1.03125
129+04286,1.036231884057971,1.036231884057971
129+04287,1.028169014084507,1.0434782608695652
129+04288,1.0318471337579618,1.0258064516129033
129+04289,1.0444444444444443,1.0393258426966292
129+04290,1.0294117647058825,1.0303030303030303
129+04291,1.1397058823529411,1.0461538461538462
129+04292,1.8089171974522291,1.0445205479452055
129+04293,1.3968749999999999,1.028268551236749
129+04294,1.1605839416058394,1.0725806451612905
129+04295,1.017241379310345,1.0454545454545456
129+04296,1.0384615384615385,1.111111111111111
129+04297,1.0481927710843375,1.1011904761904763
129+04298,1.0294117647058825,1.0294117647058825
129+04299,1.0292553191489362,1.045945945945946
129+04300,1.1148325358851676,1.0492610837438423
129+04301,1.9176470588235293,1.036144578313253
129+04302,1.3962264150943395,1.0485436893203883
129+04303,1.10126582278481,1.0480349344978166
129+04304,1.0485714285714285,1.063768115942029
129+04305,1.0434782608695652,1.0434782608695652
129+04306,1.074074074074074,1.074074074074074
129+04307,1.7614678899082568,1.2892561983471076
129+04308,1.0510204081632653,1.2291666666666667
129+04309,1.0509554140127388,1.3571428571428572
129+04310,1.045,1.2268518518518516
129+04311,1.028735632183908,1.106145251396648
129+04312,1.0555555555555556,2.05
129+04313,1.0285714285714287,1.5999999999999999
129+04314,1.0,1.5714285714285714
129+04315,1.027777777777778,1.2424242424242424
129+04316,1.0181818181818183,1.2686567164179103
129+04317,1.0272108843537415,1.7305389221556888
129+04318,1.0238095238095237,1.446808510638298
129+04319,1.0,1.0
129+04320,1.0310077519379846,1.0310077519379846
129+04321,1.0294117647058825,1.0294117647058825
129+04322,1.028673835125448,1.0436363636363637
129+04323,1.0301724137931036,1.0301724137931036
129+04324,1.033898305084746,1.0344827586206897
129+04325,1.0272727272727271,1.046296296296296
129+04327,1.1666666666666667,1.1666666666666667
129+04328,1.6666666666666667,1.2608695652173911
129+04329,1.0499999999999998,1.048780487804878
129+04331,1.0217391304347825,1.0217391304347825
129+04332,1.0204081632653061,1.0204081632653061
129+04333,1.0,1.0461538461538462
129+04334,1.0,1.0184049079754602
129+04335,1.0,1.0309278350515465
129+04336,1.0,1.0344827586206897
129+04337,1.0,1.0188679245283019
129+04338,1.0212765957446808,1.0
129+04340,1.03125,1.032258064516129
129+04341,1.0303030303030303,1.0625
129+04342,1.0331753554502372,1.048780487804878
129+04343,2.1679389312977095,1.040983606557377
129+04344,1.6161616161616164,1.0333333333333334
129+04345,1.4652278177458034,1.029891304347826
129+04346,1.513157894736842,1.0563380281690142
129+04347,1.3264604810996563,1.0300751879699248
129+04348,2.0,1.0282485875706215
129+04349,2.638888888888889,1.043103448275862
129+04350,1.6148409893992934,1.0291970802919708
129+04351,1.236280487804878,1.029126213592233
129+04352,1.6891891891891893,1.027027027027027
129+04353,1.5808823529411762,1.051282051282051
129+04354,1.564102564102564,1.0555555555555556
129+04355,1.2373737373737375,1.043010752688172
129+04356,1.3119999999999998,1.028846153846154
129+04357,2.1612903225806455,1.0384615384615385
129+04358,1.7942857142857143,1.0294117647058822
129+04359,2.101123595505618,1.074074074074074
129+04360,1.4107883817427385,1.03
129+04361,1.4,1.0909090909090908
129+04362,1.2857142857142856,1.2
129+04363,1.3333333333333335,1.5
129+04364,1.2222222222222223,2.25
129+04365,1.2710280373831775,1.8072289156626506
129+04366,1.1172413793103448,1.6096256684491976
129+04367,1.04,1.2134831460674158
129+04368,1.0476190476190477,1.28
129+04369,1.0588235294117645,1.6756756756756757
129+04370,1.051282051282051,1.2649253731343284
129+04371,1.0493827160493827,1.0804597701149425
129+04372,1.0526315789473684,1.5017543859649123
129+04373,1.0285714285714287,1.238532110091743
129+04374,1.0483870967741935,1.2672811059907834
129+04375,1.0495049504950495,1.3056300268096515
129+04376,1.0909090909090908,1.3088235294117647
129+04377,1.0625,1.2272727272727273
129+04378,1.050632911392405,1.3828571428571428
129+04379,1.0303030303030303,1.3880597014925373
129+04380,1.0178571428571426,1.4
129+04381,1.0392156862745099,1.911111111111111
129+04382,1.0434782608695652,1.6885245901639345
129+04383,1.0309278350515465,1.1531531531531531
129+04384,1.0,1.0
129+04385,1.051282051282051,1.0499999999999998
129+04386,1.029126213592233,1.03
129+04387,1.0379746835443038,1.051948051948052
129+04388,1.0,1.0
129+04389,1.02,1.0416666666666667
129+04390,1.0181818181818183,1.0185185185185186
129+04391,1.0279329608938548,1.0170454545454546
129+04392,1.03125,1.0105263157894737
129+04393,1.0333333333333334,1.0135135135135136
129+04394,1.0285714285714287,1.028846153846154
129+04395,1.0117647058823531,1.0282258064516128
129+04396,1.0250000000000001,1.0344827586206897
129+04397,1.0276243093922652,1.0397727272727273
129+04398,1.0347222222222223,1.0352112676056338
129+04399,1.0384615384615385,1.0196078431372548
129+04400,1.0694444444444444,1.0547945205479452
129+04401,1.0,1.3333333333333335
129+04402,1.0,1.0
129+04403,1.0689655172413794,1.0357142857142856
129+04404,1.0588235294117645,1.0625
129+04405,1.0612244897959184,1.0425531914893618
129+04406,1.076923076923077,1.04
129+04407,1.5076923076923077,1.0491803278688525
129+04408,1.7209302325581395,1.0285714285714287
129+04410,1.0333333333333334,1.225563909774436
129+04411,1.0555555555555556,1.0993788819875776
129+04412,1.0465116279069768,1.236220472440945
129+04413,1.0,1.2857142857142856
129+04414,1.0634920634920635,1.3472222222222223
129+04415,1.0,1.1428571428571428
129+04416,1.0,1.25
129+04417,1.0303030303030303,1.121212121212121
129+04418,1.0,1.0
129+04419,1.0393700787401574,1.1615384615384614
129+04420,1.051282051282051,1.9310344827586206
129+04421,1.074074074074074,1.196969696969697
129+04423,1.5587121212121213,1.0456852791878173
129+04424,1.4734774066797642,1.0339805825242718
129+04425,1.3165829145728645,1.0328638497652582
129+04426,1.2798165137614679,1.0302457466918715
129+04427,1.2272727272727273,1.0499999999999998
129+04428,1.1871559633027522,2.4725274725274726
129+04429,1.3914473684210527,1.5192307692307692
129+04430,1.7621776504297995,1.0483870967741935
129+04431,1.4444444444444446,1.1666666666666667
129+04432,1.4633027522935778,2.216666666666667
129+04433,1.1666666666666667,1.4696969696969695
129+04434,1.2666666666666668,1.358974358974359
129+04435,1.1521739130434783,1.306122448979592
129+04437,1.0096153846153846,1.0096153846153846
129+04438,1.0,1.0555555555555556
129+04440,1.037037037037037,1.0566037735849056
129+04441,1.0283400809716599,1.0458333333333334
129+04442,1.0437956204379562,1.0458015267175573
129+04443,1.4207920792079207,1.0481283422459893
129+04444,1.03125,1.0327102803738317
129+04445,1.0405405405405406,1.0273972602739727
129+04446,1.030716723549488,1.0280701754385966
129+04447,1.0299625468164795,1.0436507936507935
129+04448,1.1052631578947367,1.0499999999999998
129+04449,1.8399999999999999,1.0324675324675325
129+04450,1.427767354596623,1.0254777070063694
129+04451,1.3333333333333333,1.0495495495495495
129+04453,1.0566037735849056,1.0377358490566038
129+04454,1.04,1.04
129+04455,1.016260162601626,1.016260162601626
129+04456,1.037037037037037,1.0526315789473684
129+04457,1.0,1.0769230769230769
129+04458,1.0,1.0833333333333335
129+04459,1.0842490842490842,1.1340996168582376
129+04460,1.0988372093023255,1.1317365269461077
129+04461,1.1016393442622952,1.135135135135135
129+04462,1.0504587155963303,1.1009615384615385
129+04464,1.0461538461538462,1.0461538461538462
129+04465,1.0442477876106195,1.0442477876106195
129+04466,1.0,1.0
129+04468,1.0909090909090908,1.0909090909090908
129+04469,1.03125,1.0434782608695654
129+04479,1.0499999999999998,1.0999999999999999
129+04480,1.0510204081632653,1.0518134715025906
129+04481,1.03125,1.03125
129+04594,1.0,1.0
129+04595,1.0,1.0
129+04596,1.0555555555555556,1.0555555555555556
129+04597,1.0377358490566038,1.0384615384615385
129+04598,1.04,1.0833333333333335
129+04599,2.062015503875969,1.048780487804878
129+04600,3.3125000000000004,1.025
129+04601,1.3973509933774833,1.0363636363636362
129+04602,1.310344827586207,1.0666666666666667
129+04603,1.1666666666666667,1.1428571428571428
129+04604,1.3333333333333333,1.0625
129+04605,1.0,1.1111111111111112
129+04606,1.076923076923077,1.076923076923077
129+04607,1.0416666666666667,1.0833333333333335
129+04608,1.0317460317460319,1.0461538461538462
129+04609,1.0,1.0
129+04610,1.0350877192982457,1.0357142857142856
129+04611,1.0294117647058822,1.0294117647058822
129+04612,1.0465116279069768,1.0465116279069768
129+04613,1.0256410256410258,1.0326797385620916
129+04614,1.0313901345291479,1.0318181818181817
129+04615,1.3197278911564625,1.0507246376811594
129+04624,1.0693069306930694,1.06
129+04625,1.0450450450450448,1.0642201834862384
129+04626,1.05,1.0659898477157361
129+04627,1.0463576158940397,1.033112582781457
129+04628,1.051282051282051,1.051282051282051
129+04629,1.0252100840336136,1.0427350427350428
129+04630,1.0441176470588234,1.0597014925373134
129+04638,1.0666666666666667,1.0714285714285714
129+04639,1.0,1.1111111111111112
129+04640,1.0351437699680512,1.051948051948052
129+04641,1.0343347639484979,1.7634854771784232
129+04642,1.0476190476190477,1.4476744186046513
129+04643,1.032258064516129,1.0384615384615385
129+04644,1.0285714285714287,1.0185185185185186
129+04661,1.0256410256410258,1.0540540540540542
129+04663,1.0666666666666667,1.0434782608695652
129+04664,1.0392156862745099,1.0377358490566038
129+04665,1.027777777777778,1.0555555555555556
129+04666,1.0350877192982457,1.0526315789473684
129+04667,1.0348837209302326,1.0348837209302326
129+04677,1.095774647887324,1.0304789550072568
129+04678,1.6587301587301586,1.05
129+04743,1.0869565217391304,1.08
129+04745,1.0574162679425838,1.6271186440677965
129+04746,1.0636363636363635,1.1092436974789917
129+04747,1.1170212765957448,1.1423611111111112
129+04748,1.0645161290322582,1.080536912751678
129+04749,1.0731707317073171,1.0791366906474822
129+04750,1.3214285714285714,1.2903225806451615
129+04751,1.103448275862069,1.3333333333333335
129+04752,1.1384615384615384,1.1417910447761193
129+04753,1.0340909090909092,1.0588235294117647
129+04754,1.0,1.0
129+04755,1.0555555555555556,1.0945945945945947
129+04756,1.064102564102564,1.8208955223880596
129+04761,1.2313432835820894,1.15625
129+04762,1.0407407407407407,1.0407407407407407
129+04763,1.0598290598290598,1.0588235294117647
129+04764,1.0,1.0
129+04765,1.078125,1.0606060606060606
129+04766,1.049645390070922,1.034965034965035
129+04767,1.625,1.0
129+04768,1.6172839506172838,1.033898305084746
129+04770,1.025,1.4852941176470587
129+04771,1.0357142857142856,1.8285714285714287
129+04772,1.0454545454545454,1.4024390243902438
129+04773,1.040983606557377,1.2471042471042473
129+04774,1.0476190476190477,1.2195121951219512
129+04775,1.0157068062827226,1.2392638036809818
129+04776,1.25,1.1666666666666667
129+04777,1.076923076923077,1.1
129+04778,1.04,1.606060606060606
129+04779,1.0625,1.3595505617977528
129+04780,1.0625,1.0925925925925926
129+04781,1.051282051282051,1.0499999999999998
129+04782,1.0606060606060606,1.0606060606060606
129+04918,1.0465116279069768,1.4081632653061225
129+04919,2.0,1.2
129+04920,1.0,1.0
129+04921,1.0677966101694916,1.462121212121212
129+05584,1.25,1.0408163265306123
129+05855,1.09375,1.0666666666666667
129+05856,1.0202898550724637,1.0482954545454546
129+05857,1.1447963800904977,1.1131221719457014
129+05858,1.0473684210526317,1.0475578406169666
129+05859,1.06,1.103658536585366
129+05860,1.1440677966101696,1.1009708737864077
129+05861,1.1875,1.094915254237288
129+05862,1.1428571428571428,1.124513618677043
129+05863,1.0999999999999999,1.32
129+05864,1.0758620689655174,1.4355828220858895
129+05865,1.0802139037433154,1.1220657276995307
129+05866,1.6767676767676767,1.2323232323232323
129+05867,1.0389908256880733,1.0373831775700935
129+06438,1.050909090909091,1.0860033726812817
129+09183,1.0610687022900762,1.119718309859155
129+09184,1.0531914893617023,1.0531914893617023
129+09185,1.0921052631578947,1.152046783625731
129+13227,1.0,1.1017964071856288
129+13228,1.0483271375464684,1.1015625
129+13229,1.042857142857143,1.0285714285714287
129+14199,2.1818181818181817,1.435897435897436
129+14217,1.0499999999999998,1.2108843537414966
129+14230,1.125,1.0
129+16182,1.0470588235294118,1.5
129-04098,2.3064516129032255,1.0909090909090908
129-04099,1.6774193548387097,1.0363636363636362
129-04100,1.372093023255814,1.0625
129-04101,1.28125,1.1891891891891893
129-04102,1.5179282868525898,1.2475728155339805
129-04103,1.7941176470588234,1.5000000000000002
129-04104,1.0909090909090908,1.198952879581152
129-04105,1.0579710144927537,1.372093023255814
129-04106,1.0344827586206897,1.4057971014492754
129-04107,1.05,1.371212121212121
129-04108,1.027777777777778,1.5510204081632653
129-04109,1.0357142857142856,1.393939393939394
129-04110,1.0925925925925926,1.3333333333333333
129-04111,1.7307692307692308,1.2439024390243902
129-04112,1.8625954198473282,1.3465346534653466
129-04113,1.119047619047619,1.2784810126582278
129-04114,1.0,1.272727272727273
129-04115,1.0943396226415094,1.2489795918367346
129-04116,1.2,1.3783783783783785
129-04117,1.2222222222222223,1.5499999999999998
129-04118,1.25,1.272727272727273
129-04119,1.3513513513513513,1.4484304932735426
129-04120,1.4615384615384615,1.5593220338983051
129-04121,1.7857142857142856,1.5780346820809248
129-04122,1.7499999999999998,1.4430379746835442
129-04123,1.4404761904761905,1.5
129-04124,1.2635135135135136,2.267605633802817
129-04125,1.3009708737864079,2.021276595744681
129-04126,1.3352601156069364,1.0416666666666667
129-04127,1.3072916666666665,1.0377358490566038
129-04128,1.4025974025974026,1.0571428571428572
129-04129,1.448,1.0384615384615385
129-04130,1.6375404530744335,1.0357142857142858
129-04131,2.3920000000000003,1.0434782608695652
129-04132,1.7450980392156863,1.1590909090909092
129-04133,2.0980392156862746,1.44
129-04134,1.2784810126582278,1.1224489795918369
129-04135,1.40625,1.0350877192982457
129-04136,1.3437499999999998,1.0297029702970297
129-04137,1.3211009174311925,1.0185185185185186
129-04138,1.5574572127139366,1.0804597701149425
129-04139,1.7333333333333334,1.1379310344827587
129-04140,1.6224489795918369,1.0684931506849316
129-04141,1.7374999999999998,1.0546875
129-04142,1.225806451612903,1.024390243902439
129-04143,2.0412371134020617,1.0459770114942528
129-04144,2.2222222222222223,1.125
129-04145,1.162162162162162,1.0555555555555556
129-04177,1.0454545454545454,1.025974025974026
129-04178,1.0459770114942528,1.0459770114942528
129-04179,1.0303030303030303,1.0461538461538462
129-04180,1.0333333333333334,1.0333333333333334
129-04181,1.0175438596491229,1.0517241379310345
129-04182,1.051282051282051,1.051282051282051
129-04183,1.037037037037037,1.0526315789473684
129-04184,1.051948051948052,1.0493827160493827
129-04185,1.0413793103448277,1.0529801324503312
129-04186,1.0313901345291479,1.0663716814159294
129-04187,1.0489130434782608,1.0989304812834224
129-04188,1.0303030303030303,1.0476190476190477
129-04189,1.068825910931174,1.0323886639676112
129-04190,1.03125,1.0396039603960396
129-04191,1.0301507537688441,1.1367924528301887
129-04192,1.033898305084746,1.1735537190082643
129-04193,1.0326086956521738,1.2569444444444444
129-04194,1.0,1.076923076923077
129-04215,1.0416666666666667,1.0416666666666667
129-04242,1.5,1.047337278106509
129-04243,1.313588850174216,1.0321285140562249
129-04244,1.215,1.0298507462686566
129-04245,1.3197674418604652,1.033112582781457
129-04246,1.3636363636363635,1.048780487804878
129-04247,1.6018518518518516,1.0
129-04248,2.0,1.0
129-04249,1.7727272727272725,1.0491803278688525
129-04250,1.25,1.0344827586206897
129-04251,1.1365853658536587,1.0301507537688441
129-04252,1.1078431372549018,1.03
129-04253,1.0684931506849316,1.0410958904109588
129-04254,1.027027027027027,1.027027027027027
129-04262,1.0769230769230769,1.051282051282051
129-04263,1.048780487804878,1.0481927710843375
129-04264,1.0394736842105263,1.0384615384615385
129-04265,1.0232558139534884,1.0
129-04267,2.243243243243243,1.0606060606060606
129-04268,1.0,1.25
129-04269,1.0212765957446808,1.0212765957446808
129-04270,1.0188679245283019,1.0377358490566038
129-04271,1.0714285714285714,1.0714285714285714
129-04273,1.0463917525773194,1.0463917525773194
129-04274,1.0285035629453683,1.0289156626506022
129-04275,1.0294117647058822,1.043360433604336
129-04276,1.0337078651685394,1.0454545454545454
129-04277,1.0,1.0
129-04278,1.0439882697947214,1.0484330484330486
129-04279,1.030674846625767,1.0434782608695652
129-04280,1.0416666666666667,1.0260416666666667
129-04281,1.0469798657718121,1.0335570469798658
129-04282,1.048780487804878,1.0292682926829269
129-04283,1.0454545454545454,1.0328947368421053
129-04284,1.03125,1.101010101010101
129-04285,1.0469798657718121,1.0394736842105263
129-04286,1.0317460317460319,1.0317460317460319
129-04287,1.0304878048780488,1.0426829268292683
129-04288,1.0273224043715845,1.0273224043715845
129-04289,1.041237113402062,1.0253807106598984
